cntr_01 name RA Dec elliptical spiral photoz photozErr FUV NUV U G R I Z J H K W1 W2 W3 W4
60 1237645876863369352 341.297043990596 -1.00371755668132 0.10813 0.89187 0.09037 0.020029 -17.830479956199824 -18.42748995619982 -19.3489 -20.6736 -21.4026 -21.7064 -22.0286 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
61 1237645876863369353 341.297043990596 -1.00371755668132 0.10813 0.89187 0.09037 0.020029 -17.605929956199823 -18.062399956199826 -19.3489 -20.6736 -21.4026 -21.7064 -22.0286 -21.455189956199824 -21.93518995619982 -23.347189956199824 -23.594189956199823 -23.81918995619982 -26.628189956199826 -29.299189956199825
62 1237645876863566020 341.75384751643 -0.888855672699522 0.022127 0.977873 0.088087 0.021584 -17.313202526251544 -17.668832526251542 -19.6049 -20.7407 -21.3786 -21.6641 -21.9646 -9999.0 -9999.0 -9999.0 -21.996252526251546 -22.06525252625154 -26.011252526251546 -29.38825252625154
63 1237645876863566021 341.75384751643 -0.888855672699522 0.022127 0.977873 0.088087 0.021584 -18.063322526251547 -18.328722526251546 -19.6049 -20.7407 -21.3786 -21.6641 -21.9646 -9999.0 -9999.0 -9999.0 -22.62925252625154 -22.552252526251543 -26.059252526251544 -29.469252526251545
65 1237645876864090242 342.956280334484 -0.830415449593871 0.0 1.0 0.07345 0.015808 -16.594060783679495 -17.081670783679492 -19.7675 -21.376 -22.2145 -22.6003 -22.916 -9999.0 -9999.0 -9999.0 -22.602750783679497 -22.851750783679496 -25.980750783679497 -28.780750783679494
66 1237645876864155833 343.091906409739 -0.950978478277831 0.068203 0.931797 0.054393 0.01407 -16.105864552691976 -16.68043455269197 -18.2737 -19.4526 -19.9763 -20.1322 -20.2915 -9999.0 -9999.0 -9999.0 -21.577294552691974 -21.683294552691976 -24.647294552691974 -27.839294552691975
67 1237645876864221206 343.194393931446 -1.03766866996602 0.046861 0.953139 0.066518 0.015008 -9999.0 -16.388574168565732 -19.5873 -20.9521 -21.4333 -21.8118 -22.0041 -22.01295416856573 -22.75895416856573 -23.121954168565733 -23.542954168565732 -23.82995416856573 -26.506954168565734 -29.275954168565733
68 1237645876864352448 343.62390216759 -0.897412863777514 0.178634 0.821366 0.062401 0.009552 -9999.0 -16.243530219335064 -19.6669 -20.5296 -20.8547 -20.9893 -21.1076 -21.867910219335062 -22.61391021933506 -22.976910219335064 -23.397910219335063 -23.684910219335062 -26.361910219335066 -29.130910219335064
69 1237645876864352449 343.62389595319 -0.897415173316776 0.154494 0.845506 0.062401 0.009552 -16.982220219335062 -17.17677021933506 -19.6669 -20.5296 -20.8547 -20.9893 -21.1076 -9999.0 -9999.0 -9999.0 -21.046910219335064 -20.901910219335065 -24.673910219335063 -28.41591021933506
70 1237645876864352454 343.500920918195 -0.878558480962831 0.315942 0.684058 0.092714 0.024079 -17.299859063740907 -18.333229063740905 -18.7701 -20.1707 -20.9276 -21.2341 -21.5446 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
